Domain Code,Domain,Area Code (M49),Area,Element Code,Element,Item Code (CPC),Item,Year Code,Year,Unit,Value,Flag,Flag Description,Note
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21155","Edible offal of sheep, fresh, chilled or frozen","2024","2024","An","998248","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21159.01","Edible offals of horses and other equines, fresh, chilled or frozen","2024","2024","An","0","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21511.01","Fat of pigs","2024","2024","An","130153","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5112","Stocks","02153","Geese","2024","2024","1000 An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21515","Goat fat, unrendered","2024","2024","An","548013","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02123","Goats","2024","2024","An","615188","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5313","Laying","0231","Hen eggs in shell, fresh","2024","2024","1000 An","4557","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21118.01","Horse meat, fresh or chilled","2024","2024","An","0","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02131","Horses","2024","2024","An","24199","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21118.02","Meat of asses, fresh or chilled","2024","2024","An","0","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21112","Meat of buffalo, fresh or chilled","2024","2024","An","0","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21111.01","Meat of cattle with the bone, fresh or chilled","2024","2024","An","231759","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5321","Producing Animals/Slaughtered","21121","Meat of chickens, fresh or chilled","2024","2024","1000 An","11480","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21116","Meat of goat, fresh or chilled","2024","2024","An","548013","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21113.01","Meat of pig with the bone, fresh or chilled","2024","2024","An","130153","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","21115","Meat of sheep, fresh or chilled","2024","2024","An","998248","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5321","Producing Animals/Slaughtered","21124","Meat of turkeys, fresh or chilled","2024","2024","1000 An","138","A","Official figure",""
"QCL","Crops and livestock products","008","Albania","5111","Stocks","02133","Mules and hinnies","2024","2024","An","","M","Missing value; data cannot exist",""
"QCL","Crops and livestock products","008","Albania","5320","Producing Animals/Slaughtered","02951.03","Raw hides and skins of buffaloes","2024","2024","An","0","A","Official figure",""
